x,y,lat__lat,lon__long,identifier__identifiant,station_id__id_station,period_value__valeur_periode,period_group__groupe_periode,province__province,date,temp_mean__temp_moyenne,temp_mean_units__temp_moyenne_unites,temp_max__temp_max,temp_max_units__temp_max_unites,temp_min__temp_min,temp_min_units__temp_min_unites,total_precip__precip_totale,total_precip_units__precip_totale_unites,rain__pluie,rain_units__pluie_unites,snow__neige,snow_units__neige_unites,pressure_sea_level__pression_niveau_mer,pressure_sea_level_units__pression_niveau_mer_unite,pressure_station__pression_station,pressure_station_units__pression_station_unites,wind_speed__vitesse_vent,wind_speed_units__vitesse_vent_unites
-92.62,48.77,48.77,-92.62,6025205.1994.06,6025205,Jun,Monthly,ON,1994-06,16.6,C,23.5,C,9.7,C,121.4,mm,121.4,mm,0,mm,,hPa,,hPa,,kph
-119.75,50.47,50.47,-119.75,1168880.2000.07,1168880,Jul,Monthly,BC,2000-07,17.7,C,26.5,C,8.9,C,54.7,mm,54.7,mm,0,mm,,hPa,,hPa,,kph
-64.03,67.55,67.55,-64.03,2400572.2013.04,2400572,Apr,Monthly,NU,2013-04,,C,,C,,C,,mm,,mm,,mm,1017.8,hPa,1017,hPa,,kph
-80,48.15,48.15,-80,6074211.1990.07,6074211,Jul,Monthly,ON,1990-07,17.4,C,22.8,C,11.9,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-87.88,52.23,52.23,-87.88,6014350.2016.05,6014350,May,Monthly,ON,2016-05,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-72.24,45.31,45.31,-72.24,7025229.2014.04,7025229,Apr,Monthly,QC,2014-04,,C,,C,,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-67.25,45.22,45.22,-67.25,8104935.2019.11,8104935,Nov,Monthly,NB,2019-11,0,C,5,C,-5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-79.4389,44.6028,44.6028,-79.4389,6115811.2001.11,6115811,Nov,Monthly,ON,2001-11,,C,,C,,C,56.8,mm,53.5,mm,3.3,mm,,hPa,,hPa,,kph
-124.5,49.83,49.83,-124.5,1046392.2010.01,1046392,Jan,Monthly,BC,2010-01,5.9,C,8.1,C,3.6,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-80.75,43.98,43.98,-80.75,6145504.1994.10,6145504,Oct,Monthly,ON,1994-10,8.7,C,13.1,C,4.2,C,,mm,,mm,,mm,1019,hPa,-9999.9,hPa,,kph
-67.57,48.28,48.28,-67.57,7053649.2013.09,7053649,Sep,Monthly,QC,2013-09,11.6,C,17,C,6.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-124.95,50.07,50.07,-124.95,1021960.2000.07,1021960,Jul,Monthly,BC,2000-07,17.7,C,23.2,C,12.2,C,29.5,mm,29.5,mm,0,mm,,hPa,,hPa,,kph
-91.9,50.1167,50.1167,-91.9,6037775.1996.02,6037775,Feb,Monthly,ON,1996-02,,C,,C,,C,54.7,mm,0.6,mm,54.1,mm,1014.7,hPa,964.9,hPa,11.7,kph
-61.68,56.55,56.55,-61.68,8502799.1992.02,8502799,Feb,Monthly,NL,1992-02,-23.1,C,-19.4,C,-26.8,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-81.82,69.37,69.37,-81.82,2402543.1998.07,2402543,Jul,Monthly,NU,1998-07,,C,,C,,C,,mm,,mm,,mm,1009.7,hPa,1003.1,hPa,,kph
-81.5,43.95,43.95,-81.5,6124700.2000.11,6124700,Nov,Monthly,ON,2000-11,,C,,C,,C,-9999.9,mm,-9999.9,mm,-9999.9,mm,,hPa,,hPa,,kph
-72.73,46.57,46.57,-72.73,7018001.2020.03,7018001,Mar,Monthly,QC,2020-03,-2.4,C,2.3,C,-7.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-63.62,50.28,50.28,-63.62,7043019.2001.04,7043019,Apr,Monthly,QC,2001-04,-0.4,C,4.5,C,-5.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-126,53.77,53.77,-126,1085836.2012.08,1085836,Aug,Monthly,BC,2012-08,14.7,C,20.8,C,8.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-140.2,69.62,69.62,-140.2,2100682.1993.02,2100682,Feb,Monthly,YT,1993-02,-19.7,C,-13.8,C,-25.6,C,,mm,,mm,,mm,-9999.9,hPa,-9999.9,hPa,,kph
-124.52,49.35,49.35,-124.52,1024638.2018.01,1024638,Jan,Monthly,BC,2018-01,4.2,C,7,C,1.3,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-73,45.8,45.8,-73,7022375.2011.07,7022375,Jul,Monthly,QC,2011-07,21.7,C,27.8,C,15.4,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-111.22,56.65,56.65,-111.22,3062696.2009.08,3062696,Aug,Monthly,AB,2009-08,15.2,C,21.9,C,8.5,C,,mm,,mm,,mm,,hPa,,hPa,,kph
-80,48.15,48.15,-80,6074211.2018.09,6074211,Sep,Monthly,ON,2018-09,12.7,C,18.1,C,7.2,C,,mm,,mm,,mm,,hPa,,hPa,,kph
